Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,language
325,"J Kemp, D Livingstone",Putting a Second Life “metaverse” skin on learning management systems,2006.0,Proceedings of the Second Life …,hibgroupbpr.pbworks.com,http://hibgroupbpr.pbworks.com/f/Second+Life.pdf#page=22,"https://scholar.google.com/scholar?cites=16167247673914096875&as_sdt=2005&sciodt=0,5&hl=en",1,2022-02-14 11:32:39,PDF,,,,,,,,325,20.31,163,2,16.0,This paper outlines the advantages and weaknesses of Multi-User Virtual Environments for teaching and explores the possible benefits of integrating them closely with traditional …,http://hibgroupbpr.pbworks.com/f/Second+Life.pdf#page=22,"https://scholar.google.com/scholar?q=related:6_xoBxqaXeAJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",azerbaijani
133,"JDN Dionisio, WGB III, R Gilbert",3D virtual worlds and the metaverse: Current status and future possibilities,2013.0,ACM Computing Surveys (CSUR),dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2480741.2480751,"https://scholar.google.com/scholar?cites=5989405190770777720&as_sdt=2005&sciodt=0,5&hl=en",2,2022-02-14 11:32:39,,10.1145/2480741.2480751,,,,,,,133,14.78,44,3,9.0,"… to an integrated network of 3D virtual worlds or Metaverse rests on progress in four areas: … a functional Metaverse are described. Factors that support the formation of a viable Metaverse, …",https://dl.acm.org/doi/pdf/10.1145/2480741.2480751,"https://scholar.google.com/scholar?q=related:eN7Fq0mkHlMJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
11,"SV Rehm, L Goel, M Crespi","The metaverse as mediator between technology, trends, and the digital transformation of society and business",2015.0,Journal For Virtual …,jvwr-ojs-utexas-stage.tdl.org,https://jvwr-ojs-utexas-stage.tdl.org/jvwr/index.php/jvwr/article/view/7149,"https://scholar.google.com/scholar?cites=8940041317034600019&as_sdt=2005&sciodt=0,5&hl=en",3,2022-02-14 11:32:39,,,,,,,,,11,1.57,4,3,7.0,"… In particular, we consider the role of a Metaverse, understood … application scenarios through the Metaverse as a mediating … through advances of virtual worlds towards a Metaverse. …",https://jvwr-ojs-utexas-stage.tdl.org/jvwr/index.php/jvwr/article/view/7149/6366,"https://scholar.google.com/scholar?q=related:U6YpIzZoEXwJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
9,M Sparkes,What is a metaverse,2021.0,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0262407921014500,"https://scholar.google.com/scholar?cites=6019486813331031822&as_sdt=2005&sciodt=0,5&hl=en",4,2022-02-14 11:32:39,,,,,,,,,9,9.0,9,1,1.0,"… These events, complete with music and 3D graphics, are an example of Silicon Valley's new favourite buzzword: metaverse. … Perhaps the first attempt to create a real metaverse …",,"https://scholar.google.com/scholar?q=related:Doe-Nl2DiVMJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
141,"P Ludlow, M Wallace",The Second Life Herald: The virtual tabloid that witnessed the dawn of the metaverse,2007.0,,books.google.com,https://books.google.com/books?hl=en&lr=&id=9oDkIq6JLlwC&oi=fnd&pg=PR11&dq=metaverse&ots=DqKMxTun0c&sig=9T_e6wHQXMKFqI-T7Ppgu4PNUgg,"https://scholar.google.com/scholar?cites=1646997380176699383&as_sdt=2005&sciodt=0,5&hl=en",5,2022-02-14 11:32:39,BOOK,,,,,,,,141,9.4,71,2,15.0,"… In 1992, science fiction writer Neal Stephenson imagined"" the Metaverse,"" avirtual space that … He is the editorof leading metaverse blog 3pointD. com, and an author of Second Life: The …",,"https://scholar.google.com/scholar?q=related:919uH2RP2xYJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
244,C Ondrejka,Escaping the gilded cage: User created content and building the metaverse,2004.0,NYL Sch. L. Rev.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nyls49&section=14,"https://scholar.google.com/scholar?cites=2170954292522512589&as_sdt=2005&sciodt=0,5&hl=en",6,2022-02-14 11:32:39,,,,,,,,,244,13.56,244,1,18.0,"… Unfortunately, creating the Metaverse proved to be an extremely difficult technical problem. … to build the Metaverse have left the concept of a broadly appealing Metaverse out of favor …",,"https://scholar.google.com/scholar?q=related:zfBpRW3HIB4J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
17,"H Duan, J Li, S Fan, Z Lin, X Wu, W Cai",Metaverse for social good: A university campus prototype,2021.0,Proceedings of the 29th ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3474085.3479238,"https://scholar.google.com/scholar?cites=10036070613892547084&as_sdt=2005&sciodt=0,5&hl=en",7,2022-02-14 11:32:39,,10.1145/3474085.3479238,,,,,,,17,17.0,3,6,1.0,"… Then we propose a three-layer metaverse … novel metaverse with a detailed timeline and table of specific attributes. Lastly, we illustrate our implemented blockchain-driven metaverse …",https://dl.acm.org/doi/pdf/10.1145/3474085.3479238,"https://scholar.google.com/scholar?q=related:DELNyQxJR4sJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
14,"LH Lee, T Braud, P Zhou, L Wang, D Xu, Z Lin…","All one needs to know about metaverse: A complete survey on technological singularity, virtual ecosystem, and research agenda",2021.0,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2110.05352,"https://scholar.google.com/scholar?cites=2143047335646200982&as_sdt=2005&sciodt=0,5&hl=en",8,2022-02-14 11:32:39,,,,,,,,,14,14.0,2,7,1.0,"… ing the metaverse, we view that the metaverse research is still in its infancy. Therefore, additional research efforts should be extended in designing and building the metaverse. Instead …",https://arxiv.org/pdf/2110.05352,"https://scholar.google.com/scholar?q=related:lgQKijKivR0J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
63,"M Bourlakis, S Papagiannidis, F Li",Retail spatial evolution: paving the way from traditional to metaverse retailing,2009.0,Electronic Commerce Research,Springer,https://link.springer.com/article/10.1007/s10660-009-9030-8,"https://scholar.google.com/scholar?cites=9707489689320316397&as_sdt=2005&sciodt=0,5&hl=en",9,2022-02-14 11:32:39,,10.1007/s10660-009-9030-8,,,,,,,63,4.85,21,3,13.0,"… retailing, ie from traditional to electronic to metaverse retailing and sheds light on the ways … , e-retailers and metaverse retailers. For the metaverse phenomenon, the authors analyse …","https://scholar.google.com/scholar?output=instlink&q=info:7V20oHDut4YJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=16408698513426507178&oi=lle","https://scholar.google.com/scholar?q=related:7V20oHDut4YJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
56,"H Choi, S Kim",A content service deployment plan for metaverse museum exhibitions—Centering on the combination of beacons and HMDs,2017.0,International Journal of Information Management,Elsevier,https://www.sciencedirect.com/science/article/pii/S026840121630175X,"https://scholar.google.com/scholar?cites=3634923603695606467&as_sdt=2005&sciodt=0,5&hl=en",10,2022-02-14 11:32:39,HTML,,,,,,,,56,11.2,28,2,5.0,"… Ultimately, this article presents the exhibition content thus created as Metaverse exhibition content made through an effective combination of augmented reality and a virtual world. …",https://www.sciencedirect.com/science/article/pii/S026840121630175X,"https://scholar.google.com/scholar?q=related:w5r1R8LXcTIJ:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
8,S Hazan,Musing the metaverse,2010.0,"Heritage in the Digital Era, Multi-Science …",cidoc.mini.icom.museum,https://cidoc.mini.icom.museum/wp-content/uploads/sites/6/2018/12/63_papers.pdf,"https://scholar.google.com/scholar?cites=7875108848479501750&as_sdt=2005&sciodt=0,5&hl=en",11,2022-02-14 11:32:39,PDF,,,,,,,,8,0.67,8,1,12.0,"This paper will look at the ways in which museums and cultural institutions are moving into Second Life. It will explore how the new, and surprisingly not so new social and cultural …",https://cidoc.mini.icom.museum/wp-content/uploads/sites/6/2018/12/63_papers.pdf,"https://scholar.google.com/scholar?q=related:tv0nCcYBSm0J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
9,"A Siyaev, GS Jo",Towards aircraft maintenance metaverse using speech interactions with virtual objects in mixed reality,2021.0,Sensors,mdpi.com,https://www.mdpi.com/1034944,"https://scholar.google.com/scholar?cites=18367440137455844637&as_sdt=2005&sciodt=0,5&hl=en",12,2022-02-14 11:32:39,,,,,,,,,9,9.0,5,2,1.0,"Metaverses embedded in our lives create virtual experiences inside of the physical world. Moving towards metaverses in aircraft maintenance, mixed reality (MR) creates enormous …",https://www.mdpi.com/1424-8220/21/6/2066/pdf,"https://scholar.google.com/scholar?q=related:Hb1Oen1B5v4J:scholar.google.com/&scioq=intitle:metaverse&hl=en&as_sdt=0,5",english
